Название,Полная цена,Цена со скидкой,Описание,Состав,Размер,Ссылки на фотографии
Авторский букет с пионовидными Розами и Гортензией,5990,5990,Большой авторский букет из ажурной Гортензии; пионовидных кустовых Роз; кружевной Эустомы и Диантусов в стильной дизайнерской упаковке.,Гортензия - 3 шт; Роза кустовая пионовидная - 5 шт; Озотамнус - 3 шт; Эустома - 3 шт; рускус стабилизированный - 1 шт; Эвкалипт - 5 шт; Диантус - 5 шт; бумага дизайнерская - 5 шт; Лента атласная - 1 шт; ,Высота-45см; Ширина-30см,https://content2.flowwow-images.com/data/flowers/1000x1000/93/1667590843_23311193.jpg; https://content2.flowwow-images.com/data/flowers/1000x1000/46/1667590843_37144446.jpg; https://content2.flowwow-images.com/data/flowers/1000x1000/90/1667590844_73910890.jpg; https://content2.flowwow-images.com/data/flowers/1000x1000/05/1667590844_34088005.jpg; https://content2.flowwow-images.com/data/flowers/1000x1000/42/1667590844_19805642.jpg; https://content2.flowwow-images.com/data/flowers/1000x1000/93/1667590844_41002793.jpg
Пионовидные кустовые Розы Бомбастик 19 шт,6990,5942,19 пышных кустовых пионовидных Роз Бомбастик в стильной упаковке,Кустовая пионовидная роза - 19 шт; бумага дизайнерская - 6 шт; Лента атласная - 1 шт; ,Высота-45см; Ширина-40см,https://content2.flowwow-images.com/data/flowers/1000x1000/12/1654770140_18701812.jpg; https://content2.flowwow-images.com/data/flowers/1000x1000/22/1654770140_17000022.jpg; https://content2.flowwow-images.com/data/flowers/1000x1000/23/1654770140_51727023.jpg; https://content2.flowwow-images.com/data/flowers/1000x1000/89/1654770140_65165289.jpg; https://content2.flowwow-images.com/data/flowers/1000x1000/95/1654770140_52376095.jpg; https://content2.flowwow-images.com/data/flowers/1000x1000/23/1654770140_43848823.jpg
5 белых Гортензий и Гипсофила,2590,2590,Воздушная белоснежная Гортензия и веточки нежной Гипсофилы в стильной упаковке.,Гортензия - 5 шт; Гипсофила - 2 шт; бумага дизайнерская - 6 шт; Лента атласная - 1 шт; ,Высота-45см; Ширина-38см,https://content2.flowwow-images.com/data/flowers/1000x1000/39/1665650165_28212739.jpg; https://content2.flowwow-images.com/data/flowers/1000x1000/45/1665650165_47781745.jpg; https://content2.flowwow-images.com/data/flowers/1000x1000/97/1665650165_48993897.jpg; https://content2.flowwow-images.com/data/flowers/1000x1000/72/1665650165_31888972.jpg; https://content2.flowwow-images.com/data/flowers/1000x1000/93/1665650165_39138093.jpg; https://content2.flowwow-images.com/data/flowers/1000x1000/63/1665650165_34486463.jpg
Радужная Гипсофила в шляпной коробке,1590,1590,Радужная гипсофила в шляпной коробке,Гипсофила - 4 шт; Флористическая губка - 1 шт; Коробка шляпная - 1 шт; ,Высота-30см; Ширина-26см,https://content2.flowwow-images.com/data/flowers/1000x1000/70/1646348743_94682870.jpg; https://content2.flowwow-images.com/data/flowers/1000x1000/14/1646348744_65779114.jpg; https://content2.flowwow-images.com/data/flowers/1000x1000/26/1646348744_54905526.jpg; https://content2.flowwow-images.com/data/flowers/1000x1000/52/1646348744_16587652.jpg; https://content2.flowwow-images.com/data/flowers/1000x1000/56/1646348744_52499256.jpg; https://content2.flowwow-images.com/data/flowers/1000x1000/97/1646348744_31046097.jpg
Авторский букет с Антуриумом,6990,6990,Экзотический Антуриум; ароматные садовые Розы; воздушная Гортензия и ажурная Эустома в стильной упаковке.,Антуриум - 2 шт; Гортензия - 2 шт; роза одноголовая pink o'hara - 5 шт; Роза кустовая пионовидная - 5 шт; Эустома - 3 шт; Озотамнус - 3 шт; рускус стабилизированный - 2 шт; бумага дизайнерская - 6 шт; Лента атласная - 1 шт; ,Высота-40см; Ширина-45см,https://content2.flowwow-images.com/data/flowers/1000x1000/82/1665820286_81218282.jpg; https://content2.flowwow-images.com/data/flowers/1000x1000/76/1665820286_13947276.jpg; https://content2.flowwow-images.com/data/flowers/1000x1000/84/1665820286_39262984.jpg; https://content2.flowwow-images.com/data/flowers/1000x1000/90/1665820286_62458590.jpg; https://content2.flowwow-images.com/data/flowers/1000x1000/10/1665820286_94865510.jpg; https://content2.flowwow-images.com/data/flowers/1000x1000/83/1665820286_40040483.jpg
19 розовых Альстромерий,2390,2390,19 пышных розовых Альстромерий в стильной упаковке,Альстромерия - 19 шт; бумага дизайнерская - 4 шт; Лента атласная - 1 шт; ,Высота-45см; Ширина-30см,https://content2.flowwow-images.com/data/flowers/1000x1000/09/1647205596_69699209.jpg; https://content2.flowwow-images.com/data/flowers/1000x1000/44/1647205596_56116644.jpg; https://content2.flowwow-images.com/data/flowers/1000x1000/13/1647205596_38432313.jpg; https://content2.flowwow-images.com/data/flowers/1000x1000/94/1647205596_40726894.jpg; https://content2.flowwow-images.com/data/flowers/1000x1000/78/1647205596_22053578.jpg; https://content2.flowwow-images.com/data/flowers/1000x1000/27/1647205596_68041327.jpg
Авторский букет с белой Гортензией и ароматным Розами Пинк Охара,4790,4790,Авторский букет с белоснежной Гортензией ; ароматными садовыми Розами Пинк Охара ; нежными кустовыми пионовидными Розами ; воздушной Стифой и кустовой ароматной Маттиолой в стильной упаковке,Гортензия - 1 шт; pink o'hara роза - 3 шт; Роза кустовая пионовидная - 3 шт; Эустома - 2 шт; маттиола кустовая - 2 шт; Диантус - 3 шт; рускус стабилизированный - 1 шт; Стифа - 2 шт; бумага дизайнерская - 5 шт; Лента атласная - 1 шт; ,Высота-50см; Ширина-42см,https://content2.flowwow-images.com/data/flowers/1000x1000/71/1668444161_31007871.jpg; https://content2.flowwow-images.com/data/incoming/3abde2780076f3cb91d09e7e59c5230238bad1ea/original.mp4; https://content3.flowwow-images.com/data/flowers/1000x1000/90/1668444161_4660290.jpg; https://content2.flowwow-images.com/data/flowers/1000x1000/93/1668444161_29727393.jpg; https://content2.flowwow-images.com/data/flowers/1000x1000/38/1668444161_28822938.jpg; https://content2.flowwow-images.com/data/flowers/1000x1000/85/1668444161_55125785.jpg; https://content2.flowwow-images.com/data/flowers/1000x1000/94/1668444162_64806394.jpg
Бордовая Хризантема с Альстромерией,2590,2590,Бордовая кустовая Хризантема с желто-золотистой Альстромерией в стильной упаковке,Хризантема кустовая - 7 шт; Альстромерия - 3 шт; бумага дизайнерская - 5 шт; Лента атласная - 1 шт; ,Высота-45см; Ширина-28см,https://content2.flowwow-images.com/data/flowers/1000x1000/65/1663001418_92887165.jpg; https://content2.flowwow-images.com/data/flowers/1000x1000/13/1663001419_92952913.jpg; https://content2.flowwow-images.com/data/flowers/1000x1000/63/1663001419_85089863.jpg; https://content2.flowwow-images.com/data/flowers/1000x1000/01/1663001420_70698301.jpg; https://content2.flowwow-images.com/data/flowers/1000x1000/33/1663001420_85909533.jpg; https://content2.flowwow-images.com/data/flowers/1000x1000/61/1663001420_72143061.jpg
Елка Новогодняя из Нобилиса с игрушками,3190,3190,Новогодняя Ёлка из Нобилиса; украшенная игрушками в нежно-розовых оттенках на деревянном спиле,Нобилис - 3 шт; Декор новогодний - 44 шт; Губка флористическая - 1 шт; Поддон - 1 шт; ,Высота-38см; Ширина-26см,https://content2.flowwow-images.com/data/flowers/1000x1000/96/1669993802_25323496.jpg; https://content2.flowwow-images.com/data/incoming/22a712afe3685be5f44bbdfbb711dca8e3bdac6b/original.mp4; https://content2.flowwow-images.com/data/flowers/1000x1000/93/1669993802_10788393.jpg; https://content2.flowwow-images.com/data/flowers/1000x1000/88/1669993802_14632688.jpg; https://content2.flowwow-images.com/data/flowers/1000x1000/02/1669993802_76998202.jpg; https://content2.flowwow-images.com/data/flowers/1000x1000/49/1669993802_96686349.jpg; https://content2.flowwow-images.com/data/flowers/1000x1000/42/1669993802_12800942.jpg
Радужная Хризантема 15 шт,7500,7500,15 магических Радужных Хризантем в стильной упаковке,Хризантема кустовая - 15 шт; бумага дизайнерская - 6 шт; Лента атласная - 1 шт; ,Высота-50см; Ширина-35см,https://content3.flowwow-images.com/data/flowers/1000x1000/93/1658816478_1514093.jpg; https://content2.flowwow-images.com/data/incoming/fd543500497c9332176b4f589460f1dcf78f69b1/original.mp4; https://content2.flowwow-images.com/data/flowers/1000x1000/67/1658816478_14416167.jpg; https://content2.flowwow-images.com/data/flowers/1000x1000/07/1658816478_90029207.jpg; https://content2.flowwow-images.com/data/flowers/1000x1000/09/1658816478_15431209.jpg; https://content3.flowwow-images.com/data/flowers/1000x1000/91/1658816478_7786491.jpg; https://content2.flowwow-images.com/data/flowers/1000x1000/36/1658816478_22248736.jpg
Новогодняя композиция из Нобилиса со свечей в коробке,1690,1690,Новогодняя композиция в белых оттенках . Сделана из натуральной датской ели Нобилис с добавлением Кипарисовика и натурального Хлопка. В центре композиции свеча ; украшенная новогодним декором.,ХлопокСвечаНобилисНовогодний декорКипарисовикКоробка шляпнаяГубка флористическая,Высота-38см; Ширина-26см,https://content2.flowwow-images.com/data/flowers/1000x1000/18/1669825496_13346618.jpg; https://content2.flowwow-images.com/data/incoming/b2e5c55304f4bfa57c922943dfbe4546f0227fe2/original.mp4; https://content2.flowwow-images.com/data/flowers/1000x1000/74/1669825496_12866574.jpg; https://content2.flowwow-images.com/data/flowers/1000x1000/95/1669825496_39531795.jpg; https://content3.flowwow-images.com/data/flowers/1000x1000/33/1669825496_6314433.jpg; https://content2.flowwow-images.com/data/flowers/1000x1000/76/1670073035_46223976.jpg; https://content2.flowwow-images.com/data/flowers/1000x1000/81/1670073035_73947981.jpg
Маттиола микс 11 шт,1990,1990,Букет из ароматной Маттиолы в сиренево-фиолетовой гамме в стильной упаковке,Маттиола - 11 шт; бумага дизайнерская - 5 шт; Лента атласная - 1 шт; ,Высота-40см; Ширина-23см,https://content2.flowwow-images.com/data/flowers/1000x1000/82/1667817533_73739582.jpg; https://content2.flowwow-images.com/data/incoming/53b53ff346934d8077dcdb93d595226800ec2081/original.mp4; https://content2.flowwow-images.com/data/flowers/1000x1000/66/1667817533_15615666.jpg; https://content2.flowwow-images.com/data/flowers/1000x1000/97/1667817533_46417197.jpg; https://content2.flowwow-images.com/data/flowers/1000x1000/71/1667817534_37971671.jpg; https://content2.flowwow-images.com/data/flowers/1000x1000/16/1667817534_76990316.jpg; https://content2.flowwow-images.com/data/flowers/1000x1000/30/1667817534_40556230.jpg
Альстромерия 25 шт,3150,3150,Белоснежная Альстромерия в стильной крафтовой упаковке,Альстромерия - 25 шт; бумага дизайнерская - 5 шт; бумага крафт - 5 шт; Лента атласная - 1 шт; ,Нет данных на сайте,https://content2.flowwow-images.com/data/flowers/1000x1000/34/1659940220_48876434.jpg; https://content2.flowwow-images.com/data/flowers/1000x1000/72/1659940220_89478472.jpg; https://content2.flowwow-images.com/data/flowers/1000x1000/69/1659940220_31514169.jpg; https://content2.flowwow-images.com/data/flowers/1000x1000/60/1659940220_87539160.jpg; https://content2.flowwow-images.com/data/flowers/1000x1000/42/1659940220_29526742.jpg; https://content2.flowwow-images.com/data/flowers/1000x1000/71/1659940220_36272271.jpg
15 пионовидных Роз,1990,1990,Микс из ароматных пионовидных Роз белого и персикового цвета в стильной дизайнерской упаковке.,Роза пионовидная одноголовая - 15 шт; бумага дизайнерская - 5 шт; Лента атласная - 1 шт; ,Высота-35см; Ширина-23см,https://content2.flowwow-images.com/data/flowers/1000x1000/37/1667311773_56858537.jpg; https://content2.flowwow-images.com/data/incoming/2547bef32d7aa09fc765bb5ae39e3f2ff0f91eb0/original.mp4; https://content2.flowwow-images.com/data/flowers/1000x1000/87/1667311773_93943787.jpg; https://content2.flowwow-images.com/data/flowers/1000x1000/52/1667311773_99263552.jpg; https://content2.flowwow-images.com/data/flowers/1000x1000/66/1667311773_85927266.jpg; https://content2.flowwow-images.com/data/flowers/1000x1000/28/1667311773_53717128.jpg; https://content2.flowwow-images.com/data/flowers/1000x1000/18/1667311773_70652718.jpg
Ромашки 15 шт,2690,2690,15 полевых Ромашек в стильной крафтовой упаковке,Хризантема кустовая - 15 шт; бумага дизайнерская - 5 шт; бумага крафтовая - 5 шт; Лента атласная - 1 шт; ,Высота-50см; Ширина-30см,https://content2.flowwow-images.com/data/flowers/1000x1000/32/1658518605_39092132.jpg; https://content2.flowwow-images.com/data/flowers/1000x1000/06/1658518605_69653306.jpg; https://content2.flowwow-images.com/data/flowers/1000x1000/03/1658518605_62033503.jpg; https://content2.flowwow-images.com/data/flowers/1000x1000/02/1658518605_35023102.jpg; https://content2.flowwow-images.com/data/flowers/1000x1000/39/1658518605_76820439.jpg; https://content2.flowwow-images.com/data/flowers/1000x1000/83/1658518605_25665983.jpg
5 коралловых Пионов,4690,4690,5 восхитительных Пионов сорта Корал Шарм в стильной упаковке,Пион Коралл Шарм (Coral Charm) - 5 шт; бумага дизайнерская - 5 шт; Крафт - 5 шт; Лента атласная - 1 шт; ,Высота-45см; Ширина-20см,https://content2.flowwow-images.com/data/flowers/1000x1000/57/1666903035_82773357.jpg; https://content2.flowwow-images.com/data/flowers/1000x1000/59/1666903035_10646059.jpg; https://content2.flowwow-images.com/data/flowers/1000x1000/74/1666903035_88194074.jpg; https://content2.flowwow-images.com/data/flowers/1000x1000/01/1666903035_37411901.jpg; https://content2.flowwow-images.com/data/flowers/1000x1000/88/1666903035_70077588.jpg; https://content2.flowwow-images.com/data/flowers/1000x1000/81/1666903035_63424481.jpg
Ромашки 25 шт,4490,4490,25 полевых Ромашек в стильной крафтовой упаковке,Хризантема кустовая - 25 шт; бумага крафт - 5 шт; бумага дизайнерская - 5 шт; Лента атласная - 1 шт; ,Высота-50см; Ширина-40см,https://content2.flowwow-images.com/data/flowers/1000x1000/44/1658519124_37043344.jpg; https://content3.flowwow-images.com/data/flowers/1000x1000/09/1658519124_3570609.jpg; https://content2.flowwow-images.com/data/flowers/1000x1000/85/1658519124_42002385.jpg; https://content2.flowwow-images.com/data/flowers/1000x1000/21/1658519124_67504521.jpg; https://content2.flowwow-images.com/data/flowers/1000x1000/56/1658519124_71904156.jpg; https://content2.flowwow-images.com/data/flowers/1000x1000/24/1658519124_71172324.jpg
Лавандовые Розы с Эвкалиптом,2290,2061,Лавандовые Розы с Эвкалиптом в стильной упаковке,Роза одноголовая - 15 шт; Эвкалипт - 5 шт; бумага дизайнерская - 5 шт; Лента атласная - 1 шт; ,Нет данных на сайте,https://content2.flowwow-images.com/data/flowers/1000x1000/67/1660814717_97179667.jpg; https://content2.flowwow-images.com/data/flowers/1000x1000/95/1660814717_82309195.jpg; https://content2.flowwow-images.com/data/flowers/1000x1000/75/1660814717_89878975.jpg; https://content2.flowwow-images.com/data/flowers/1000x1000/27/1660814717_83822827.jpg; https://content2.flowwow-images.com/data/flowers/1000x1000/31/1660814717_89770131.jpg; https://content2.flowwow-images.com/data/flowers/1000x1000/74/1660814717_66738574.jpg
Авторский букет Хризантема Бигуди и Гортензия,3190,3190,Авторский букет с белой Гортензией ; винными Хризантемами Бигуди; розовой Эустомой ; Озотамнусом ; очаровательными Ягодами ; персиковыми Гвоздиками и Эвкалиптом в стильной упаковке,Гортензия - 1 шт; Хризантема одноголовая - 3 шт; Эустома - 1 шт; Гвоздика кустовая - 3 шт; Вибурнум - 1 шт; Озотамнус - 1 шт; Эвкалипт - 5 шт; бумага дизайнерская - 5 шт; Лента атласная - 1 шт; ,Высота-40см; Ширина-35см,https://content2.flowwow-images.com/data/flowers/1000x1000/29/1662927645_63623829.jpg; https://content2.flowwow-images.com/data/flowers/1000x1000/22/1662927646_54432522.jpg; https://content2.flowwow-images.com/data/flowers/1000x1000/54/1662927646_27692354.jpg; https://content2.flowwow-images.com/data/flowers/1000x1000/14/1662927646_69599914.jpg; https://content2.flowwow-images.com/data/flowers/1000x1000/20/1662927647_43830120.jpg; https://content2.flowwow-images.com/data/flowers/1000x1000/42/1662927647_27491542.jpg
Радужная Хризантема в большой шляпной коробке,4500,4500,Магическая радужная Хризантема в большой шляпной коробке .,Хризантема кустовая - 9 шт; Коробка шляпная - 1 шт; Губка флористическая - 1 шт; ,Высота-32см; Ширина-32см,https://content2.flowwow-images.com/data/flowers/1000x1000/13/1661450154_73665913.jpg; https://content2.flowwow-images.com/data/flowers/1000x1000/60/1661450155_34348260.jpg; https://content2.flowwow-images.com/data/flowers/1000x1000/13/1661450155_39436813.jpg; https://content2.flowwow-images.com/data/flowers/1000x1000/89/1661450155_13175489.jpg; https://content2.flowwow-images.com/data/flowers/1000x1000/06/1661450156_57565406.jpg; https://content2.flowwow-images.com/data/flowers/1000x1000/28/1661450156_88940728.jpg
Корзина с цветами,5500,5500,Корзина с ароматной Маттиолой; шикарными пионовидными Розами; пышной Эустомой и ветками Эвкалипта,Роза кустовая пионовидная - 3 шт; Роза одноголовая пионовидная - 3 шт; Маттиола - 2 шт; Озотамнус - 2 шт; Диантус - 4 шт; Эустома - 2 шт; Эвкалипт - 5 шт; Фисташка - 5 шт; Корзина плетеная - 1 шт; Губка флористическая - 1 шт; ,Высота-40см; Ширина-50см,https://content2.flowwow-images.com/data/flowers/1000x1000/83/1648660323_89049883.jpg; https://content2.flowwow-images.com/data/flowers/1000x1000/07/1648660323_82021307.jpg; https://content2.flowwow-images.com/data/flowers/1000x1000/68/1648660323_24573668.jpg; https://content2.flowwow-images.com/data/flowers/1000x1000/73/1648660323_91195873.jpg; https://content2.flowwow-images.com/data/flowers/1000x1000/54/1648660323_61091754.jpg; https://content2.flowwow-images.com/data/flowers/1000x1000/56/1648660323_95809056.jpg
Авторский букет Пионовидные Розы О хара,6990,6990,Нет данных на сайте,розы пионовидные садовые - 5 шт; Роза пионовидная кустовая - 3 шт; Гортензия - 2 шт; Эустома - 3 шт; Озотамнус - 2 шт; Роза одноголовая - 5 шт; Эвкалипт - 5 шт; бумага дизайнерская - 6 шт; Лента атласная - 1 шт; ,Высота-45см; Ширина-50см,https://content2.flowwow-images.com/data/flowers/1000x1000/72/1666410690_58960872.jpg; https://content2.flowwow-images.com/data/flowers/1000x1000/99/1666410690_34388299.jpg; https://content2.flowwow-images.com/data/flowers/1000x1000/81/1666410690_20791681.jpg; https://content2.flowwow-images.com/data/flowers/1000x1000/26/1666410690_35076626.jpg; https://content2.flowwow-images.com/data/flowers/1000x1000/58/1666410690_50267558.jpg; https://content2.flowwow-images.com/data/flowers/1000x1000/92/1666410690_73494292.jpg
Букет с розовой кустовой Пионовидной Розой и Хлопком,2590,2590,Пионовидная кустовая Роза Сильва Пинк и мягкий воздушный хлопок в стильной дизайнерской упаковке.,розва кустовая пионовидная - 7 шт; Хлопок - 6 шт; бумага дизайнерская - 5 шт; Лента атласная - 1 шт; ,Высота-40см; Ширина-26см,https://content2.flowwow-images.com/data/flowers/1000x1000/78/1668580073_29561578.jpg; https://content2.flowwow-images.com/data/flowers/1000x1000/77/1668580073_36747777.jpg; https://content2.flowwow-images.com/data/flowers/1000x1000/89/1668580073_62820289.jpg; https://content2.flowwow-images.com/data/flowers/1000x1000/22/1668580073_23252422.jpg; https://content2.flowwow-images.com/data/flowers/1000x1000/62/1668580073_72749062.jpg; https://content2.flowwow-images.com/data/flowers/1000x1000/73/1668580073_13018673.jpg
"Авторский букет ароматные пионовидные Розы Вайт Охара, Эустома и Маттиола",3590,3590,Авторский букет с ароматными садовыми пионовидными Розами сорта Вайт Охара с красными кустовыми пионовидными Розами ; ароматной Маттиолой ; ажурной Эустомой и копьями пальмы в стильной упаковке,Роза пионовидная - 3 шт; Гортензия - 1 шт; Эустома - 2 шт; Роза одноголовая пионовидная - 3 шт; Маттиола - 1 шт; копье пальмы - 2 шт; Альстромерия - 3 шт; Роза кустовая пионовидная - 2 шт; бумага дизайнерская - 5 шт; Лента атласная - 1 шт; ,Высота-45см; Ширина-28см,https://content2.flowwow-images.com/data/flowers/1000x1000/33/1668446373_51490133.jpg; https://content2.flowwow-images.com/data/incoming/46faace659b37df85fc06ec70a1f42b2ea509143/original.mp4; https://content3.flowwow-images.com/data/flowers/1000x1000/02/1668446373_7347402.jpg; https://content2.flowwow-images.com/data/flowers/1000x1000/96/1668446373_22792896.jpg; https://content3.flowwow-images.com/data/flowers/1000x1000/39/1668446373_5842639.jpg; https://content2.flowwow-images.com/data/flowers/1000x1000/93/1668446373_81342493.jpg; https://content2.flowwow-images.com/data/flowers/1000x1000/83/1668446373_84311983.jpg
Радужная Хризантема в шляпной коробке,2490,2490,Магическая Радужная Хризантема в шляпной коробке,Хризантема кустовая - 5 шт; Коробка шляпная - 1 шт; Губка флористическая - 1 шт; ,Высота-30см; Ширина-26см,https://content2.flowwow-images.com/data/flowers/1000x1000/37/1658813479_18968637.jpg; https://content2.flowwow-images.com/data/flowers/1000x1000/35/1658813479_64962335.jpg; https://content2.flowwow-images.com/data/flowers/1000x1000/21/1658813479_17913921.jpg; https://content2.flowwow-images.com/data/flowers/1000x1000/90/1658813479_52931590.jpg; https://content2.flowwow-images.com/data/flowers/1000x1000/31/1658813479_27028831.jpg; https://content2.flowwow-images.com/data/flowers/1000x1000/26/1658813479_19275326.jpg
51 белая пионовидная роза,5990,5990,51 белая пионовидная роза в стильной дизайнерской упаковке.,Роза пионовидная - 51 шт; бумага дизайнерская - 9 шт; Лента атласная - 1 шт; ,Нет данных на сайте,https://content2.flowwow-images.com/data/flowers/1000x1000/11/1664358672_36652211.jpg; https://content2.flowwow-images.com/data/flowers/1000x1000/22/1664358672_73493622.jpg; https://content2.flowwow-images.com/data/flowers/1000x1000/17/1664358672_57431517.jpg; https://content2.flowwow-images.com/data/flowers/1000x1000/84/1664358672_56968584.jpg; https://content2.flowwow-images.com/data/flowers/1000x1000/72/1664358672_33854972.jpg; https://content2.flowwow-images.com/data/flowers/1000x1000/32/1664358672_67636932.jpg
Цветы в коробке,2490,2490,Композиция в лавандовом цвете из ароматной Маттиолы ; одноголовых Роз и веточек Эвкалипта в шляпной коробке,Маттиола - 6 шт; Роза одноголовая - 10 шт; Эвкалипт - 5 шт; Коробка шляпная - 1 шт; Губка флористическая - 1 шт; Лента атласная - 1 шт; ,Высота-30см; Ширина-26см,https://content2.flowwow-images.com/data/flowers/1000x1000/35/1665222681_21376135.jpg; https://content2.flowwow-images.com/data/flowers/1000x1000/40/1665222681_30637040.jpg; https://content2.flowwow-images.com/data/flowers/1000x1000/54/1665222681_13223354.jpg; https://content2.flowwow-images.com/data/flowers/1000x1000/96/1665222681_78648896.jpg; https://content2.flowwow-images.com/data/flowers/1000x1000/15/1665222681_68265015.jpg; https://content2.flowwow-images.com/data/flowers/1000x1000/61/1665222681_70424361.jpg
7 Воздушных шариков,2190,2190,Нежный сет из 7 латексных шаров пастельных оттенков,Набор шаров,Нет данных на сайте,https://content2.flowwow-images.com/data/flowers/1000x1000/17/1647773442_69405917.jpg; https://content2.flowwow-images.com/data/flowers/1000x1000/53/1647773442_96007753.jpg; https://content2.flowwow-images.com/data/flowers/1000x1000/50/1647773442_73190350.jpg; https://content2.flowwow-images.com/data/flowers/1000x1000/16/1647773443_70265316.jpg; https://content3.flowwow-images.com/data/flowers/1000x1000/08/1647773443_2617608.jpg
Авторский букет с сиреневыми Розами и Альстромерией,2590,2409,Нет данных на сайте,Роза одноголовая - 11 шт; Альстромерия - 7 шт; бумага дизайнерская - 5 шт; Лента атласная - 1 шт; ,Нет данных на сайте,https://content2.flowwow-images.com/data/flowers/1000x1000/30/1655479210_30609030.jpg; https://content2.flowwow-images.com/data/flowers/1000x1000/00/1655479210_37433600.jpg; https://content2.flowwow-images.com/data/flowers/1000x1000/36/1655479210_23182936.jpg; https://content2.flowwow-images.com/data/flowers/1000x1000/08/1655479210_91962908.jpg; https://content2.flowwow-images.com/data/flowers/1000x1000/72/1655479210_57044872.jpg; https://content2.flowwow-images.com/data/flowers/1000x1000/01/1655479210_81776601.jpg
7 Воздушных шариков,2190,2190,Яркий сет из 7 латексных шаров бело-голубых оттенков,Набор шаров,Нет данных на сайте,https://content2.flowwow-images.com/data/flowers/1000x1000/47/1647773156_25585347.jpg; https://content2.flowwow-images.com/data/flowers/1000x1000/42/1647773157_99428642.jpg; https://content2.flowwow-images.com/data/flowers/1000x1000/14/1647773157_99873014.jpg; https://content2.flowwow-images.com/data/flowers/1000x1000/11/1647773157_69499311.jpg; https://content3.flowwow-images.com/data/flowers/1000x1000/54/1647773158_9390854.jpg
Букет Авторский,2990,2990,Кустовая и Пионовидная Роза; Диантус; ароматная Маттиола и листья Папоротника в стильной упаковке,Роза кустовая - 2 шт; Роза пионовидная - 3 шт; Диантус - 3 шт; Озотамнус - 2 шт; Эустома - 2 шт; Маттиола - 2 шт; Папоротник - 2 шт; Фисташка - 5 шт; бумага дизайнерская - 5 шт; Лента атласная - 1 шт; ,Высота-45см; Ширина-35см,https://content2.flowwow-images.com/data/flowers/1000x1000/11/1650905977_37935011.jpg; https://content2.flowwow-images.com/data/flowers/1000x1000/56/1650905977_19044656.jpg; https://content2.flowwow-images.com/data/flowers/1000x1000/06/1650905977_63700606.jpg; https://content2.flowwow-images.com/data/flowers/1000x1000/37/1650905977_97697037.jpg; https://content2.flowwow-images.com/data/flowers/1000x1000/68/1650905977_22116268.jpg; https://content2.flowwow-images.com/data/flowers/1000x1000/03/1650905977_46573003.jpg
"Авторский букет Гортензия, Эустома и Пионовидные Розы",5890,5890,Авторский букет с сиреневой Гортензией; малиновыми одноголовыми Хризантемами; пионовидными кустовыми Розами Сильва Пинк; ароматной Маттиолой; кустовыми Диантусами и Эвкалиптом в стильной упаковке.,Гортензия - 1 шт; Роза кустовая пионовидная - 3 шт; Эустома - 3 шт; Хризантема одноголовая - 3 шт; Маттиола - 5 шт; Роза одноголовая пионовидная - 5 шт; Озотамнус - 3 шт; Эвкалипт - 5 шт; бумага дизайнерская - 5 шт; Лента атласная - 1 шт; ,Высота-45см; Ширина-50см,https://content2.flowwow-images.com/data/flowers/1000x1000/72/1664536112_85252972.jpg; https://content2.flowwow-images.com/data/flowers/1000x1000/43/1664536112_38040443.jpg; https://content2.flowwow-images.com/data/flowers/1000x1000/79/1664536112_89091479.jpg; https://content2.flowwow-images.com/data/flowers/1000x1000/77/1664536112_30427577.jpg; https://content2.flowwow-images.com/data/flowers/1000x1000/84/1664536112_82872684.jpg; https://content2.flowwow-images.com/data/flowers/1000x1000/59/1664536112_56406759.jpg
Пионовидные Розы Джульета 11 шт,3590,3590,11 нежно-розовых пионовидных кустовых Роз Джульета в стильной упаковке,Роза кустовая пионовидная - 11 шт; бумага дизайнерская - 6 шт; Лента атласная - 1 шт; ,Высота-45см; Ширина-35см,https://content2.flowwow-images.com/data/flowers/1000x1000/99/1662738301_34667799.jpg; https://content2.flowwow-images.com/data/flowers/1000x1000/12/1662738302_60335212.jpg; https://content2.flowwow-images.com/data/flowers/1000x1000/29/1662738302_58335829.jpg; https://content2.flowwow-images.com/data/flowers/1000x1000/31/1662738303_64226231.jpg; https://content3.flowwow-images.com/data/flowers/1000x1000/43/1662738303_3875143.jpg; https://content2.flowwow-images.com/data/flowers/1000x1000/93/1662738303_14437693.jpg
Бордовая Хризантема и желтая Альстромерия в корзине,4890,4890,Бордовая Хризантема и золотисто-желтая Альстромерия в плетёной корзине,Хризантема кустовая - 11 шт; Альстромерия - 6 шт; Губка флористическая - 2 шт; Корзина плетеная - 1 шт; ,Высота-35см; Ширина-45см,https://content2.flowwow-images.com/data/flowers/1000x1000/86/1663052476_24734686.jpg; https://content2.flowwow-images.com/data/flowers/1000x1000/84/1663052476_57909384.jpg; https://content3.flowwow-images.com/data/flowers/1000x1000/20/1663052477_9326520.jpg; https://content3.flowwow-images.com/data/flowers/1000x1000/29/1663052477_8885129.jpg; https://content2.flowwow-images.com/data/flowers/1000x1000/05/1663052477_95242605.jpg; https://content2.flowwow-images.com/data/flowers/1000x1000/83/1663052478_54955783.jpg
